,start time,lock time,close time,epoch,Locked price,Close price,Change,Total BNB,Up BNB,Down BNB,Win/Lose,Summary,Moving Average,Oscillator
166,1653652087,1653652387,1653652687,3537,300.9,300.7,-0.2,15.2371,7.6988,7.6988,0,BUY,BUY,NEUTRAL
167,1653652393,1653652693,1653652993,3538,300.7,300.5,-0.2,15.5934,8.0288,7.7288,0,BUY,STRONG BUY,BUY
168,1653652701,1653653001,1653653301,3539,300.5,301.7,1.2,11.1855,5.6571,5.6461,1,NEUTRAL,BUY,SELL
169,1653653008,1653653308,1653653608,3540,301.7,301.4,-0.3,11.461,5.7908,5.7908,0,BUY,STRONG BUY,BUY
170,1653653314,1653653614,1653653914,3541,301.4,302.7,1.3,11.418,5.7691,5.7691,1,BUY,BUY,NEUTRAL
171,1653653620,1653653920,1653654220,3542,302.7,304.6,1.9,11.4066,5.7693,5.7573,1,BUY,STRONG BUY,NEUTRAL
172,1653653926,1653654226,1653654526,3543,304.6,304.7,0.1,11.386,5.6979,5.8079,1,STRONG BUY,STRONG BUY,BUY
173,1653654231,1653654531,1653654831,3544,304.7,306.0,1.3,11.502,5.8115,5.8115,1,BUY,STRONG BUY,SELL
174,1653654537,1653654837,1653655137,3545,306.0,306.8,0.8,11.3226,5.7087,5.7332,1,STRONG BUY,STRONG BUY,NEUTRAL
175,1653654843,1653655143,1653655443,3546,306.8,308.2,1.4,11.5081,5.7946,5.8346,1,BUY,STRONG BUY,NEUTRAL
176,1653655149,1653655449,1653655749,3547,308.2,309.1,0.9,11.3011,5.655,5.765,1,BUY,STRONG BUY,NEUTRAL
177,1653655455,1653655755,1653656055,3548,309.1,307.9,-1.2,11.3889,5.7619,5.7469,0,BUY,STRONG BUY,SELL
178,1653655761,1653656061,1653656361,3549,307.9,308.2,0.3,11.2987,5.6867,5.731,1,BUY,STRONG BUY,SELL
179,1653656067,1653656367,1653656667,3550,308.2,306.7,-1.5,11.7624,5.6957,6.1906,0,BUY,STRONG BUY,NEUTRAL
180,1653656373,1653656673,1653656973,3551,306.7,306.7,0.0,0.0,5.7258,5.7008,0,BUY,STRONG BUY,NEUTRAL
181,1653656679,1653656979,1653657279,3552,306.7,307.2,0.5,11.3306,5.7299,5.7199,1,BUY,STRONG BUY,NEUTRAL
